¿Quien es el maximo goleador historico de la seleccion argentina?,Messi,Maradona,Batistuta,Romero,Messi
¿En que pais se jugo el primer mundial de futbol?,Uruguay,Argentina,Brasil,Italia,Uruguay
¿Cual es el equipo con mas copas de europa?,Real Madrid,Barcelona,Bayern Munich,Liverpool,Real Madrid
¿Que jugador gano el balon de oro mas veces?,Messi,Cristiano Ronaldo,Platini,Cruyff,Messi
¿En que año se fundo el real madrid?,1902,1910,1920,1930,1902
¿Cual es el estadio mas grande del mundo?,Rungrado 1 de Mayo,Azteca,Camp Nou,Maracaná,Rungrado 1 de Mayo
¿Quien fue el entrenador que mas mundiales gano?,Mario Zagallo,Miloslav Hrusovsky,Enzo Bearzot,Vicente del Bosque,Mario Zagallo
¿Que significa la palabra futbol en ingles?,Soccer,Football,Soccerball,Kickball,Soccer
¿En que continente se invento el futbol?,Europa,America,Asia,Africa,Europa
¿Cual es la duracion de un partido de futbol?,90 minutos,100 minutos,80 minutos,120 minutos,90 minutos
¿En que deporte se usa una raqueta?,Tenis,Golf,Natacion,Boxeo,Tenis
¿Cual es el deporte de combate mas antiguo?,Lucha,Boxeo,Judo,Karate,Lucha
¿Que deporte se practica en un ring?,Boxeo,Lucha libre,Judo,Karate,Boxeo
¿En que deporte se usa un tablero y fichas?,Ajedrez,Damas,Go,Shogi,Ajedrez
¿Cual es el deporte mas popular en estados unidos?,Futbol americano,Basquetbol,Beisbol,Hockey sobre hielo,Futbol americano
¿Que deporte se practica en una pista de hielo?,Hockey sobre hielo,Patinaje artistico,Curling,Bobsleigh,Hockey sobre hielo
¿En que deporte se usa un arco y flecha?,Tiro con arco,Arqueria,Esgrima,Pentatlón moderno,Tiro con arco
¿Cual es el deporte mas peligroso del mundo?,Base jumping,Escalada en solitario,Motocross,Surf,Base jumping
¿Que deporte se practica en una cancha de tenis?,Tenis,Padel,Squash,Raquetbol,Tenis
¿En que deporte se usa un guante de boxeo?,Boxeo,K1,Muay thai,MMA,Boxeo
¿Que es un hat trick en futbol?,Marcar 3 goles en un partido,Ahorrar 3 penales,Dar 3 asistencias,Ganar 3 partidos seguidos,Marcar 3 goles en un partido
¿Que es un out en baseball?,Eliminar un bateador,Conseguir una base,Robar una base,Anotar una carrera,Eliminar un bateador
¿Que es un set en tenis?,Ganar 6 juegos,Ganar un partido,Sacar un ace,Cometer una doble falta,Ganar 6 juegos
¿Que es un knockout en boxeo?,Derribar al oponente y que no se levante,Ganar por puntos,Empatar,Descalificar al oponente,Derribar al oponente y que no se levante
¿Que es un penalty en futbol?,Tiro libre directo desde los 11 metros,Saque de esquina,Saque de banda,Saque de meta,Tiro libre directo desde los 11 metros
¿Que es un doping en el deporte?,Uso de sustancias prohibidas para mejorar el rendimiento,Lesion,Enfermedad,Sustitucion de un jugador,Uso de sustancias prohibidas para mejorar el rendimiento
¿Que es un olimpismo?,Movimiento deportivo internacional,Juego individual,Deporte de equipo,Deporte extremo,Movimiento deportivo internacional
¿Que es un arbitro?,Persona que dirige un partido,Jugador,Entrenador,Espectador,Persona que dirige un partido
¿Que es un entrenador?,Persona que dirige un equipo,Jugador,Arbitro,Medico,Persona que dirige un equipo
¿Que es un deportista profesional?,Persona que se dedica al deporte de forma remunerada,Aficionado,Entrenador,Arbitro,Persona que se dedica al deporte de forma remunerada
¿Cual es la diferencia entre futbol americano y futbol?,Numero de jugadores,Tamaño del campo,Equipo utilizado,Reglas,Todas las anteriores
¿Que es el fair play en el deporte?,Juego limpio y respetuoso,Juego sucio,Violencia,Dopaje,Juego limpio y respetuoso
¿Por que el futbol es el deporte mas popular del mundo?,Es facil de jugar,Se juega en muchos paises,Es muy emocionante,Todas las anteriores,Todas las anteriores
¿Cual es la importancia del deporte en la sociedad?,Salud,Socializacion,Desarrollo personal,Todas las anteriores,Todas las anteriores
¿Como se clasifican los deportes?,Individuales y de equipo,De verano e invierno,De contacto y no contacto,Todas las anteriores,Todas las anteriores
¿Que es un slalom en esqui?,Carrera entre puertas,Salto,Descenso,Eslalon gigante,Carrera entre puertas
¿Que es un birdie en golf?,Hacer un golpe menos que el par en un hoyo,Hacer un golpe mas que el par en un hoyo,Hacer el numero exacto de golpes en un hoyo,No embocar la bola,Hacer un golpe menos que el par en un hoyo
¿Que es un slam dunk en basquetbol?,Enceste con fuerza y una mano,Tiro libre,Pase,Robo de balon,Enceste con fuerza y una mano
¿Que es un saque en tenis?,Inicio del punto,Devolución de la bola,Falta,Doble falta,Inicio del punto
¿Que es un home run en baseball?,Dar una vuelta completa al campo y anotar una carrera,Eliminar un bateador,Robar una base,Conseguir una base por bola,Dar una vuelta completa al campo y anotar una carrera
¿Que es un touchdown en futbol americano?,Anotar un try,Marcar un gol,Anotar una carrera,Entrar en la zona de anotación,Entrar en la zona de anotación
¿Que es un Grand Slam en tenis?,Ganar los cuatro torneos grandes en un mismo año,Ganar un torneo grande,Ser el numero uno del mundo,Ganar una medalla olimpica,Ganar los cuatro torneos grandes en un mismo año
¿Que es un KO en artes marciales mixtas?,Noquear al oponente,Ganar por puntos,Rendicion,Descalificacion,Noquear al oponente
¿Que es un fuera de juego en futbol?,Estar mas adelantado que el balon y el ultimo defensor,Cometer una falta,Sacar un corner,Sacar un lateral,Estar mas adelantado que el balon y el ultimo defensor
¿Que es un backflip en gimnasia?,Voltereta hacia atras,Voltereta hacia adelante,Giro,Salto,Voltereta hacia atras
¿Que es un salto con pértiga?,Saltar sobre una barra con ayuda de una pértiga,Saltar de altura,Saltar de largo,Triple salto,Saltar sobre una barra con ayuda de una pértiga
¿Que es un triatlon?,Deporte que combina natacion, ciclismo y carrera,Deporte de equipo,Deporte de invierno,Deporte de contacto,Deporte que combina natacion, ciclismo y carrera
¿Que es un rally en automovilismo?,Vuelta rapida,Carrera larga,Serie de vueltas,Accidente,Serie de vueltas
¿Que es un frontón?,Deporte de pelota que se juega contra una pared,Deporte de raqueta,Deporte de equipo,Deporte de invierno,Deporte de pelota que se juega contra una pared
¿Que es un decathlon?,Prueba atlética que combina diez disciplinas,Prueba de fuerza,Prueba de velocidad,Prueba de resistencia,Prueba atlética que combina diez disciplinas
