pregunta,opcion1,opcion2,opcion3,opcion4,respuesta_correcta
¿En que año termino la Segunda Guerra Mundial?,1945,1950,1939,1942,1945
¿Quien fue el primer presidente de los Estados Unidos?,George Washington,Thomas Jefferson,Abraham Lincoln,John Adams,George Washington
¿En que continente se originaron los primeros humanos?,Africa,Asia,Europa,America,Africa
¿Cual fue la causa principal de la Primera Guerra Mundial?,Asesinato del archiduque Francisco Fernando,Crisis economica mundial,Expansionismo de Alemania,Conflictos coloniales,Asesinato del archiduque Francisco Fernando
¿Quien lidero la Revolucion Francesa?,Robespierre,Luis XVI,Maria Antonieta,Napoleón Bonaparte,Robespierre
¿En que civilizacion se construyeron las Piramides de Giza?,Egipcia,Babilonica,Maya,Inca,Egipcia
¿Cual fue el imperio mas extenso de la historia?,Mongo,Romano,Britanico,Espanol,Mongo
¿Quien pinto la Capilla Sixtina?,Miguel Angel,Leonardo da Vinci,Rafael,Botticelli,Miguel Angel
¿En que año descubrio Cristobal Colon America?,1492,1519,1776,1810,1492
¿Cual fue la causa principal de la Guerra Civil Estadounidense?,Esclavitud,Derechos de los nativos americanos,Conflictos territoriales,Crisis economica,Esclavitud
¿Quien escribio la Declaracion de Independencia de los Estados Unidos?,Thomas Jefferson,Benjamin Franklin,George Washington,John Adams,Thomas Jefferson
¿En que civilizacion se desarrollo la escritura cuneiforme?,Sumeria,Egipcia,Maya,Inca,Sumeria
¿Cual fue el imperio mas poderoso de la antiguedad?,Romano,Griego,Persa,Egipcio,Romano
¿Quien lidero la Revolucion Industrial?,James Watt,Henry Ford,Thomas Edison,Isaac Newton,James Watt
¿En que siglo se produjo la Caida del Imperio Romano de Occidente?,V,VI,IV,III,V
¿Quien unifico a Alemania?,Otto von Bismarck,Guillermo I,Adolf Hitler,Federico el Grande,Otto von Bismarck
¿En que año se produjo el desembarco de Normandia?,1944,1942,1945,1941,1944
¿Cual fue la causa principal de la Revolucion Rusa?,Desigualdad social,Hambruna,Guerra,Todas las anteriores,Todas las anteriores
¿Quien lidero la Revolucion Bolchevique?,Lenin,Stalin,Trotsky,Kerensky,Lenin
¿En que civilizacion se desarrollo el concepto de democracia?,Grecia,Roma,Egipto,Mesopotamia,Grecia
¿Cual fue el imperio mas extenso de la India antigua?,Maurya,Gupta,Mogol,Kushan,Mogol
¿Quien escribio los Principios de la Filosofia?,Rene Descartes,Isaac Newton,Galileo Galilei,Aristoteles,Rene Descartes
¿En que siglo se produjo la Reforma Protestante?,XVI,XVII,XV,XVIII,XVI
¿Quien lidero la Revolucion Mexicana?,Emiliano Zapata,Pedro Dominguez,Porfirio Diaz,Venustiano Carranza,Emiliano Zapata 
¿En que civilizacion se construyeron los Zigurats?,Sumeria,Egipcia,Maya,Inca,Sumeria
¿Cual fue la causa principal de la Guerra de los Cien Años?,Disputa por el trono frances,Conflictos religiosos,Expansionismo ingles,Rivalidad comercial,Disputa por el trono frances
¿Quien descubrio las leyes de la gravitacion universal?,Isaac Newton,Galileo Galilei,Albert Einstein,Johannes Kepler,Isaac Newton
¿En que siglo se produjo la Revolucion Industrial?,XVIII,XIX,XVII,XVI,XVIII
¿Quien unifico a Italia?,Giuseppe Garibaldi,Victor Manuel II,Camilo Cavour,Mazzini,Todos los anteriores,Todos los anteriores
¿En que año se firmo el Tratado de Versalles?,1919,1918,1920,1921,1919
¿Cual fue la causa principal de la Gran Depresion?,Crac bursatil de 1929,Sobreproduccion,Proteccionismo,Todas las anteriores,Todas las anteriores
¿Quien lidero la Revolucion China?,Mao Zedong,Chiang Kai-shek,Sun Yat-sen,Deng Xiaoping,Mao Zedong
¿En que civilizacion se desarrollo el sistema de escritura jeroglificos?,Egipcia,Sumeria,Maya,Inca,Egipcia
¿Quién fue el primer emperador romano?,Julio César,Augusto,Nerón,Marco Antonio,Augusto
¿Cuál fue la civilización que construyó las pirámides de Egipto?,Egipcios,Griegos,Romanos,Babilonios,Egipcios
