Pregunta,opcion1,opcion2,opcion3,opcion4,respuesta
¿En que pais se origino el tango?,Argentina,Uruguay,Brasil,España,Argentina
¿Quien interpreto el papel de Harry Potter en las peliculas?,Daniel Radcliffe,Rupert Grint,Emma Watson,Tom Felton,Daniel Radcliffe
¿Cual es el nombre del anillo unico en El Señor de los Anillos?,Nenya,Vilya,Narya,Unico,Unico
¿En que ciudad se encuentra la Torre Eiffel?,Paris,Londres,Roma,Nueva York,Paris
¿Quien pinto la Mona Lisa?,Leonardo da Vinci,Michelangelo,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci
¿Cual es la capital de Japon?,Tokio,Osaka,Kyoto,Hiroshima,Tokio
¿En que deporte destacaba Michael Jordan?,Basquetbol,Futbol,Tenis,Natacion,Basquetbol
¿Como se llama el protagonista de la saga Star Wars?,Luke Skywalker,Han Solo,Darth Vader,Obi Wan Kenobi,Luke Skywalker
¿Cual es el animal que representa a China?,Dragon,Panda,Tigre,Fenix,Dragon
¿Quien escribio Don Quijote de la Mancha?,Miguel de Cervantes,Lope de Vega,Federico Garcia Lorca,Gabriel Garcia Marquez,Miguel de Cervantes
¿En que siglo vivio Mozart?,XVIII,XIX,XX,XVII,XVIII
¿Cual es el instrumento musical nacional de Mexico?,Mariachi,Guitarra,Marimba,Trompeta,Mariachi
¿En que pais se celebra el Carnaval de Rio?,Brasil,Argentina,Colombia,Peru,Brasil
¿Quien es considerado el rey del pop?,Michael Jackson,Elvis Presley,Freddie Mercury,Prince,Michael Jackson
¿Cual es la cancion mas vendida de todos los tiempos?,Bohemian Rhapsody,Imagine,Smells Like Teen Spirit,Someone Like You,Bohemian Rhapsody
¿En que deporte se utiliza una raqueta?,Tenis,Futbol,Basquetbol,Natacion,Tenis
¿Cual es el oceano mas grande del mundo?,Pacifico,Atlantico,Indico,Artico,Pacifico
¿Quien fue el primer hombre en pisar la Luna?,Neil Armstrong,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong
¿Cual es el pais con mas premios Oscar?,Estados Unidos,Reino Unido,Francia,Italia,Estados Unidos
¿En que continente se encuentra Australia?,Oceania,Asia,America,Africa,Oceania
¿Cual es la obra mas famosa de Shakespeare?,Romeo y Julieta,Hamlet,Otelo,Macbeth,Romeo y Julieta
¿Quien es el autor de Cien años de soledad?,Gabriel Garcia Marquez,Mario Vargas Llosa,Isabel Allende,Jorge Luis Borges,Gabriel Garcia Marquez
¿En que ciudad se encuentra la Estatua de la Libertad?,Nueva York,Washington DC,Los Angeles,Chicago,Nueva York
¿Cual es el deporte mas popular del mundo?,Futbol,Basquetbol,Tenis,Beisbol,Futbol
¿Quien fue el primer presidente de los Estados Unidos?,George Washington,Thomas Jefferson,Abraham Lincoln,John F. Kennedy,George Washington
¿En que pais se originó el futbol?,Inglaterra,Brasil,Argentina,España,Inglaterra
¿Cual es la capital de Italia?,Roma,Venecia,Florencia,Milán,Roma
¿En que año se hundio el Titanic?,1912,1915,1920,1925,1912
¿Quien es el autor de El Principito?,Antoine de Saint-Exupéry,Jules Verne,Victor Hugo,Alexandre Dumas,Antoine de Saint-Exupéry
¿Cual es el instrumento musical de viento metal mas grande?,Tuba,Trompeta,Trombon,Fliscorno,Tuba
¿En que deporte se utiliza un guante de boxeo?,Boxeo,Judo,Karate,Taekwondo,Boxeo
¿Cual es el pais con mas volcanes activos?,Islandia,Indonesia,Japón,Estados Unidos,Islandia
¿En que año se construyo la Gran Muralla China?,Siglo III a.C.,Siglo V a.C.,Siglo VII a.C.,Siglo IX a.C.,Siglo III a.C.
¿Quien pinto Las meninas?,Diego Velázquez,Francisco de Goya,El Greco,Juan de Valdés Leal,Diego Velázquez
¿Cual es el animal nacional de Escocia?,Unicornio,Leon,Oso,Caballo,Unicornio
¿En que pais se encuentra el Coliseo Romano?,Italia,Grecia,Egipto,Turquia,Italia
¿Quien es el compositor de la Novena Sinfonia?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Franz Schubert,Ludwig van Beethoven
¿Cual es el planeta mas grande del sistema solar?,Jupiter,Saturno,Neptuno,Urano,Jupiter
¿En que deporte se utiliza una red?,Tenis,Futbol,Basquetbol,Natacion,Tenis
¿Cual es la capital de Australia?,Canberra,Sydney,Melbourne,Brisbane,Canberra
¿Quien fue el inventor de la bombilla incandescente?,Thomas Edison,Nikola Tesla,Albert Einstein,Graham Bell,Thomas Edison
¿En que pais se encuentra el Taj Mahal?,India,Pakistán,Bangladesh,Nepal,India
¿Quién interpretó el papel de Batman en la película "El Caballero de la Noche"? ,Christian Bale,Ben Affleck,Robert Pattinson,Michael Keaton,Christian Bale
¿Cuál es el género musical de la banda Metallica?,Heavy Metal,Pop,Clásica,Jazz,Heavy Metal
¿En qué país se originó el fútbol?,Inglaterra,Brasil,Argentina,España,Inglaterra
¿Quién escribió la saga de "Harry Potter"?,J.K. Rowling,Stephen King,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling
¿Cuál es el videojuego más vendido de todos los tiempos?,Minecraft,Tetris,Grand Theft Auto V,Mario Kart,Minecraft
¿En qué década surgió el movimiento hippie?,1960,1970,1980,1950,1960
¿Quién pintó "Las Meninas"?,Diego Velázquez,Pablo Picasso,Salvador Dalí,Francisco Goya,Diego Velázquez
¿Cuál es el instrumento musical principal de una banda de jazz?,Saxofón,Piano,Batería,Guitarra,Saxofón
¿En qué país se celebra el Carnaval de Río de Janeiro?,Brasil,Argentina,Colombia,Perú,Brasil
¿Quién es considerado el "Rey del Pop"?,Michael Jackson,Elvis Presley,Freddie Mercury,Prince,Michael Jackson
¿Cuál es el género literario de "El Señor de los Anillos"?,Fantasía,Ciencia ficción,Romance,Misterio,Fantasía
¿Quién compuso la "Novena Sinfonía"?,Beethoven,Mozart,Bach,Chopin,Beethoven
¿En qué década surgió el movimiento punk?,1970,1980,1990,1960,1970
¿Cuál es el deporte más popular en Estados Unidos?,Fútbol americano,Básquetbol,Béisbol,Hockey sobre hielo,Fútbol americano
¿Quién creó el personaje de Mickey Mouse?,Walt Disney,Max Fleischer,Chuck Jones,William Hanna,Walt Disney
¿En qué país se originó el tango?,Argentina,Uruguay,Brasil,España,Argentina
¿Cuál es el género musical de la banda Queen?,Rock,Pop,Clásica,Jazz,Rock
¿Quién escribió la obra de teatro "Romeo y Julieta"?,William Shakespeare,Miguel de Cervantes,Lope de Vega,Federico García Lorca,William Shakespeare
¿En qué país se encuentra la Torre Eiffel?,Francia,Italia,España,Inglaterra,Francia
¿Cuál es el género cinematográfico de "Star Wars"?,Ciencia ficción,Fantasía,Acción,Aventura,Ciencia ficción
¿Quién pintó "La Noche Estrellada"?,Vincent van Gogh,Pablo Picasso,Claude Monet,Edvard Munch,Vincent van Gogh
¿Cuál es el instrumento musical principal de una banda de rock?,Guitarra eléctrica,Piano,Violín,Flauta,Guitarra eléctrica
¿En qué década surgió el movimiento grunge?,1990,1980,1970,1960,1990
¿Cuál es el deporte más popular en Brasil?,Fútbol,Voleibol,Baloncesto,Tenis,Fútbol
¿Quién creó el personaje de Superman?,Jerry Siegel y Joe Shuster,Stan Lee y Jack Kirby,Bob Kane y Bill Finger,Will Eisner y Jack Cole,Jerry Siegel y Joe Shuster
¿En qué país se originó el flamenco?,España,Portugal,Francia,Italia,España
¿Cuál es el género musical de la banda Beatles?,Rock,Pop,Clásica,Jazz,Rock
