Pregunta,opcion1,opcion2,opcion3,opcion4,respuesta
¿Cual es el planeta mas cercano al Sol?,Mercurio,Venus,Tierra,Marte,Mercurio
¿Cuantos huesos tiene un adulto?,206,200,250,300,206
¿Cual es la formula quimica del agua?,H2O,CO2,NaCl,O2,H2O
¿Quien es considerado el padre de la fisica moderna?,Albert Einstein,Isaac Newton,Galileo Galilei,Niels Bohr,Albert Einstein
¿Cual es la unidad de medida de la temperatura?,Kelvin,Gramo,Metro,Segundo,Kelvin
¿Cual es el organo mas grande del cuerpo humano?,Hígado,Corazon,Piel,Pulmon,Piel
¿Cual es el elemento quimico mas abundante en el universo?,Hidrogeno,Helio,Oxigeno,Carbono,Hidrogeno
¿Cual es la fase de la luna en la que no se ve?,Luna nueva,Luna llena,Cuarto creciente,Cuarto menguante,Luna nueva
¿Que es la fotosintesis?,Proceso por el cual las plantas convierten la luz solar en energia,Proceso por el cual los animales obtienen energia,Proceso de respiracion celular,Proceso de division celular,Proceso por el cual las plantas convierten la luz solar en energia
¿Cual es la unidad de medida de la fuerza?,Newton,Julio,Watt,Amperio,Newton
¿Cual es el planeta mas grande del sistema solar?,Jupiter,Saturno,Neptuno,Urano,Jupiter
¿Que es el ADN?,Acido desoxirribonucleico,Acido ribonucleico,Proteina,Enzima,Acido desoxirribonucleico
¿Cual es la funcion principal del cerebro?,Controlar el cuerpo y los pensamientos,Digestion de los alimentos,Transporte de oxigeno,Produccion de hormonas,Controlar el cuerpo y los pensamientos
¿Cual es la teoria que explica el origen del universo?,Teoria del Big Bang,Teoria de la relatividad,Teoria de la evolucion,Teoria de la gravedad,Teoria del Big Bang
¿Cuantos cromosomas tiene una celula humana?,46,23,48,52,46
¿Cual es el estado de la materia que no tiene forma ni volumen definido?,Gaseoso,Liquido,Solido,Plasma,Gaseoso
¿Que es la gravedad?,Fuerza que atrae a los objetos hacia el centro de la Tierra,Fuerza que repele a los objetos,Fuerza que permite el movimiento,Fuerza que genera la electricidad,Fuerza que atrae a los objetos hacia el centro de la Tierra
¿Cual es la unidad de medida de la energia?,Julio,Watt,Volt,Amperio,Julio
¿Cual es el elemento quimico mas abundante en la corteza terrestre?,Oxigeno,Silicio,Aluminio,Hierro,Oxigeno
¿Que es un ecosistema?,Conjunto de seres vivos y su entorno fisico,Conjunto de seres vivos,Conjunto de elementos no vivos,Conjunto de procesos biologicos,Conjunto de seres vivos y su entorno fisico
¿Cual es la funcion principal del corazon?,Bombear sangre por todo el cuerpo,Filtrar la sangre,Producir hormonas,Regular la temperatura,Bombear sangre por todo el cuerpo
¿Cual es la diferencia entre un animal y una planta?,Los animales se mueven y las plantas no,Los animales realizan fotosintesis y las plantas no,Los animales son unicelulares y las plantas pluricelulares,Los animales no tienen celulas y las plantas si,Los animales se mueven y las plantas no
¿Que es una molecula?,Grupo de atomos unidos por enlaces quimicos,Particula elemental,Celula,Organelo,Grupo de atomos unidos por enlaces quimicos
¿Cual es el proceso por el cual las celulas se dividen?,Mitosis,Meiosis,Fermentacion,Respiracion,Mitosis
¿Cual es la unidad de medida de la masa?,Gramo,Kilogramo,Tonelada,Libra,Gramo
¿Que es un fenomeno natural?,Evento que ocurre en la naturaleza sin intervencion humana,Experimento cientifico,Ley cientifica,Teoria cientifica,Evento que ocurre en la naturaleza sin intervencion humana
¿Cual es el planeta mas frio del sistema solar?,Neptuno,Urano,Pluton,Marte,Neptuno
¿Que es un volcan?,Abertura en la corteza terrestre por donde salen lava,ceniza y gases,Montaña muy alta,Rio subterraneo,Cueva natural,Abertura en la corteza terrestre por donde salen lava,ceniza y gases
¿Cual es la capa de la Tierra donde se produce la vida?,Biosfera,Atmosfera,Hidrosfera,Geosfera,Biosfera
¿Cual es el organo encargado de la audicion?,Oido,Nariz,Boca,Lengua,Oido
¿Que es la electricidad?,Flujo de electrones a traves de un conductor,Fuerza de atraccion entre objetos,Energia luminosa,Energia calorifica,Flujo de electrones a traves de un conductor
¿Cual es la unidad de medida de la corriente electrica?,Amperio,Volt,Watt,Ohm,Amperio
¿Cual es el proceso por el cual el agua se transforma en vapor?,Evaporacion,Condensacion,Sublimacion,Fusion,Evaporacion
¿Que es un eclipse solar?,Fenomeno que ocurre cuando la Luna se interpone entre la Tierra y el Sol,Fenomeno que ocurre cuando la Tierra se interpone entre la Luna y el Sol,Fenomeno que ocurre cuando la Luna esta en fase llena,Fenomeno que ocurre cuando la Luna esta en fase nueva,Fenomeno que ocurre cuando la Luna se interpone entre la Tierra y el Sol
¿Cual es el organo encargado de la vision?,Ojo,Cerebro,Corazon,Pulmon,Ojo
¿Que es la teoria de la evolucion?,Teoria que explica como las especies cambian a lo largo del tiempo,Teoria que explica el origen del universo,Teoria que explica la gravedad,Teoria que explica la electricidad,Teoria que explica como las especies cambian a lo largo del tiempo
¿Cuál es la partícula más pequeña de un elemento?,Átomo,Molécula,Celula,Nucleo,Átomo
¿Qué es la fotosíntesis?,Proceso por el cual las plantas convierten la luz en energía,Proceso de digestión en animales,Ciclo del agua,Formación de las rocas,Proceso por el cual las plantas convierten la luz en energía
¿Cuál es el órgano más grande del cuerpo humano?,Hígado,Corazón,Piel,Pulmón,Piel
¿Qué es la gravedad?,Fuerza que atrae los objetos hacia el centro de la Tierra,Fuerza que repele los objetos,Fuerza eléctrica,Fuerza magnética,Fuerza que atrae los objetos hacia el centro de la Tierra
¿Cuál es el planeta más caliente del sistema solar?,Mercurio,Venus,Marte,Júpiter,Venus
¿Qué es el ADN?,Material genético,Proteína,Enzima,Carbohidrato,Material genético
¿Cuál es la unidad de medida de la energía?,Julio,Watt,Volt,Amperio,Julio
¿Qué es un ecosistema?,Conjunto de seres vivos y su entorno,Conjunto de seres vivos,Conjunto de elementos no vivos,Conjunto de procesos químicos,Conjunto de seres vivos y su entorno
¿Cuál es el estado de la materia que no tiene forma ni volumen definido?,Gaseoso,Líquido,Sólido,Plasma,Gaseoso
¿Qué es la mitosis?,Proceso de división celular,Proceso de fotosíntesis,Proceso de respiración,Proceso de digestión,Proceso de división celular
¿Cuál es el elemento químico más abundante en la corteza terrestre?,Oxígeno,Silicio,Aluminio,Hierro,Oxígeno
¿Qué es un volcán?,Abertura en la corteza terrestre por donde sale lava,Montaña muy alta,Río subterráneo,Cueva natural,Abertura en la corteza terrestre por donde sale lava
¿Cuál es la capa de la Tierra donde se produce la vida?,Biosfera,Atmosfera,Hidrosfera,Geosfera,Biosfera
¿Qué es la electricidad?,Flujo de electrones,Fuerza de gravedad,Energía luminosa,Energía térmica,Flujo de electrones
¿Cuál es la unidad de medida de la corriente eléctrica?,Amperio,Volt,Watt,Ohm,Amperio
¿Qué es un eclipse solar?,Fenómeno que ocurre cuando la Luna se interpone entre la Tierra y el Sol,Fenómeno que ocurre cuando la Tierra se interpone entre la Luna y el Sol,Fenómeno que ocurre cuando la Luna está en fase llena,Fenómeno que ocurre cuando la Luna está en fase nueva,Fenómeno que ocurre cuando la Luna se interpone entre la Tierra y el Sol
¿Cuál es el órgano encargado de la visión?,Ojo,Cerebro,Corazón,Pulmón,Ojo
¿Qué es la teoría de la evolución?,Teoría que explica cómo las especies cambian a lo largo del tiempo,Teoría que explica el origen del universo,Teoría que explica la gravedad,Teoría que explica la electricidad,Teoría que explica cómo las especies cambian a lo largo del tiempo
¿Cuál es el planeta más grande del sistema solar?,Júpiter,Saturno,Neptuno,Urano,Júpiter
¿Qué es un átomo?,La partícula más pequeña de un elemento,La partícula más pequeña de una molécula,La partícula más pequeña de una célula,La partícula más pequeña de un compuesto,La partícula más pequeña de un elemento
¿Cuál es la diferencia entre un animal y una planta?,Los animales se mueven y las plantas no,Los animales realizan fotosíntesis y las plantas no,Los animales son unicelulares y las plantas pluricelulares,Los animales no tienen células y las plantas sí,Los animales se mueven y las plantas no
¿Qué es una molécula?,Grupo de átomos unidos,Partícula subatómica,Célula,Orgánulo,Grupo de átomos unidos
¿Cuál es el proceso por el cual las células se dividen?,Mitosis,Meiosis,Fermentación,Respiración,Mitosis
¿Cuál es la unidad de medida de la masa?,Gramo,Kilogramo,Tonelada,Libra,Gramo
¿Qué es un fenómeno natural?,Evento que ocurre en la naturaleza sin intervención humana,Experimento científico,Ley científica,Teoría científica,Evento que ocurre en la naturaleza sin intervención humana
¿Cuál es el planeta más frío del sistema solar?,Neptuno,Urano,Plutón,Marte,Neptuno
¿Qué es un volcán?,Abertura en la corteza terrestre por donde sale lava,Montaña muy alta,Río subterráneo,Cueva natural,Abertura en la corteza terrestre por donde sale lava
¿Cuál es la capa de la Tierra donde se produce la vida?,Biosfera,Atmosfera,Hidrosfera,Geosfera,Biosfera
¿Qué es la electricidad?,Flujo de electrones,Fuerza de gravedad,Energía luminosa,Energía térmica,Flujo de electrones
¿Cuál es la unidad de medida de la corriente eléctrica?,Amperio,Volt,Watt,Ohm,Amperio
¿Qué es un eclipse solar?,Fenómeno que ocurre cuando la Luna se interpone entre la Tierra y el Sol,Fenómeno que ocurre cuando la Tierra se interpone entre la Luna y el Sol,Fenómeno que ocurre cuando la Luna está en fase llena,Fenómeno que ocurre cuando la Luna está en fase nueva,Fenómeno que ocurre cuando la Luna se interpone entre la Tierra y el Sol
¿Cuál es el órgano encargado de la visión?,Ojo,Cerebro,Corazón,Pulmón,Ojo
¿Qué es la teoría de la evolución?,Teoría que explica cómo las especies cambian a lo largo del tiempo,Teoría que explica el origen del universo,Teoría que explica la gravedad,Teoría que explica la electricidad,Teoría que explica cómo las especies cambian a lo largo del tiempo
